Date & Time: 2018-12-04 12:49:41.026598
Euler test case, time = 0.2000
dx = 0.00398406374501992
dt = 0.0001
nSteps = 10000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 0.99683333  0.99683333  0.00267996  2.49208690 
 0.97733211  0.97733211  0.01934663  2.44351319 
 0.95815882  0.95815882  0.03601330  2.39601839 
 0.93930884  0.93930884  0.05267996  2.34957548 
 0.92077762  0.92077762  0.06934663  2.30415804 
 0.90256065  0.90256065  0.08601330  2.25974034 
 0.88465349  0.88465349  0.10267996  2.21629725 
 0.86705172  0.86705172  0.11934663  2.17380428 
 0.84975100  0.84975100  0.13601330  2.13223753 
 0.83274702  0.83274702  0.15267996  2.09157369 
 0.81603552  0.81603552  0.16934663  2.05179005 
 0.79961231  0.79961231  0.18601330  2.01286445 
 0.78347323  0.78347323  0.20267996  1.97477529 
 0.76761417  0.76761417  0.21934663  1.93750151 
 0.75203106  0.75203106  0.23601330  1.90102258 
 0.73671990  0.73671990  0.25267996  1.86531850 
 0.72167672  0.72167672  0.26934663  1.83036977 
 0.70689760  0.70689760  0.28601330  1.79615740 
 0.69237867  0.69237867  0.30267996  1.76266286 
 0.67811609  0.67811609  0.31934663  1.72986813 
 0.66410609  0.66410609  0.33601330  1.69775564 
 0.65034492  0.65034492  0.35267996  1.66630827 
 0.63682889  0.63682889  0.36934663  1.63550934 
 0.62355435  0.62355435  0.38601330  1.60534263 
 0.61051770  0.61051770  0.40267996  1.57579232 
 0.59771537  0.59771537  0.41934663  1.54684302 
 0.58514384  0.58514384  0.43601330  1.51847974 
 0.57279963  0.57279963  0.45267996  1.49068789 
 0.56067932  0.56067932  0.46934663  1.46345327 
 0.54877949  0.54877949  0.48601330  1.43676204 
 0.53709681  0.53709681  0.50267996  1.41060076 
 0.52562796  0.52562796  0.51934663  1.38495632 
 0.51436966  0.51436966  0.53601330  1.35981599 
 0.50331869  0.50331869  0.55267996  1.33516736 
 0.49247185  0.49247185  0.56934663  1.31099838 
 0.48182600  0.48182600  0.58601330  1.28729731 
